OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength
943,05,Antioquia,05044,Anza,5524.8,16204.2,3393.2,387.2,1167,99,3,0,1,7,9,1,10,33,22116.2,3393.2,0.7454161,0.02086592,260142511.101653,81686.8921424975
944,05,Antioquia,05045,Apartadó,8827.6,41296.3,854.5,1149.7,797,72,8,32,5,0,118,0,10,33,51273.5,854.5,1.28820943,0.04506112,563759576.248385,142352.276806457
945,05,Antioquia,05051,Arboletes,4814.5,67755.9,653.6,2104.9,1406,84,16,110,23,11,4,1,17,65,74675.3,653.6,1.89626053,0.06088951,763154582.298724,209850.985880071
946,05,Antioquia,05055,Argelia,11128.8,12913.8,597.6,403,888,88,19,26,5,6,3,0,16,35,24445.7,597.6,1.08126995,0.01986754,247414383.651507,116648.623759632
947,05,Antioquia,05059,Armenia,632.5,10673.6,64.8,38.4,612,56,0,0,0,5,18,2,7,32,11344.5,64.8,0.52115094,0.009024,112483790.681634,56747.7125880405
948,05,Antioquia,05079,Barbosa,7087.3,9502.5,2389.9,1740.9,3609,466,19,7,6,3,5,1,168,30,18330.7,2389.9,0.74990492,0.0168176,209725714.722297,81674.9727114811
949,05,Antioquia,05086,Belmira,13848.9,9456.8,4938.9,533.6,429,382,70,78,18,1,2,1,3,135,23839.4,4938.9,1.14027927,0.02400582,299489487.535442,124799.53588875
950,05,Antioquia,05088,Bello,5846.2,4757.5,767.4,761.9,1045,195,28,4,10,4,1,0,49,40,11365.6,767.4,0.60779922,0.011657,145341619.882568,64896.5881291409
951,05,Antioquia,05091,Betania,1519.2,16159.3,207.9,47.4,544,36,0,0,1,0,1,0,7,55,17725.9,207.9,0.66617918,0.01428914,177963648.706468,73560.3432330619
952,05,Antioquia,05093,Betulia,3892.2,16001.5,688,353.5,1266,141,4,1,1,1,2,0,30,33,20247.1,688,0.8203326,0.02265529,282387209.619425,90570.6918786891
953,05,Antioquia,05101,Ciudad Bolívar,6402,20464.6,181.2,577.3,1001,133,3,3,1,0,23,1,6,44,27443.9,181.2,0.76756003,0.02175766,271043639.556308,84304.4955285512
954,05,Antioquia,05107,Briceño,6137.8,28372.3,2130.2,570.1,568,83,3,0,4,1,0,0,8,10,35080.1,2130.2,1.02876122,0.03125434,390306502.922015,113255.893676775
955,05,Antioquia,05113,Buriticá,6457.1,26932.2,1904.5,705.2,1817,69,2,2,1,0,60,2,5,18,34094.5,1904.5,0.92757695,0.02887791,360402295.582917,103371.92084096
956,05,Antioquia,05120,Cáceres,27405.1,108328,36640.7,10077.5,1459,344,52,46,2,8,14,3,193,2,145810.5,36640.7,2.59076954,0.15598727,1950478837.7061,285164.621584052
957,05,Antioquia,05125,Caicedo,10436.7,8678.8,182.6,1420.2,1548,180,22,6,5,3,73,17,16,44,20535.7,182.6,0.66916525,0.01586726,197860132.724225,73585.8284345693
958,05,Antioquia,05129,Caldas,3093,6019,1621.1,396.1,282,57,0,0,0,0,1,2,0,16,9508.1,1621.1,0.54339867,0.01117334,139217735.63176,59350.7217351551
959,05,Antioquia,05134,Campamento,4200,19473.4,478.4,642.8,549,54,7,0,0,1,2,0,16,11,24316.3,478.4,0.87485256,0.01661572,207466230.187582,96510.9006419219
960,05,Antioquia,05138,Cañasgordas,4032.6,30478.6,530.7,335.6,1892,171,4,4,0,1,13,2,92,106,34846.8,530.7,1.06455033,0.02977772,371625043.958365,117530.184277213
961,05,Antioquia,05142,Caracolí,5262,22183,115.4,180.8,409,16,3,11,3,0,2,1,7,22,27625.8,115.4,0.95821466,0.02137678,266525627.982605,106270.656413174
962,05,Antioquia,05145,Caramanta,868.7,7384.7,80.3,133.3,559,64,0,0,0,0,3,1,61,97,8386.6,80.3,0.48871953,0.00724514,90206089.8126408,53040.6218033045
963,05,Antioquia,05147,Carepa,1877.9,32968.8,812.7,1376,594,26,0,1,5,1,5,1,2,30,36222.7,812.7,1.2654132,0.03101921,387982533.824342,139913.093671755
964,05,Antioquia,05148,El Carmen de Viboral,25245.9,12551.3,2591.7,515.4,2569,592,47,6,37,5,12,7,46,105,38312.6,2591.7,1.35672802,0.03437628,428332574.831517,145976.328943558
965,05,Antioquia,05150,Carolina,4035.9,7715.9,1578.8,755.1,383,71,5,2,0,1,3,0,0,2,12506.9,1578.8,0.66698363,0.01475724,184147073.941235,73583.9975316425
966,05,Antioquia,05154,Caucasia,10792.5,128340.4,1071.6,2263.2,828,55,2,5,21,2,10,0,6,40,141396.2,1071.6,2.87926101,0.11651922,1457609181.44615,317031.170187851
967,05,Antioquia,05172,Chigorodó,29317.6,34710.5,3616.4,1741.7,524,25,1,2,2,1,172,0,8,1,65769.8,3616.4,1.50370468,0.0576077,720226204.583733,166755.838161518
968,05,Antioquia,05190,Cisneros,945.1,3542.8,75.5,89.8,455,95,16,2,2,3,1,0,109,5,4577.7,75.5,0.38469958,0.00385162,47972579.7250732,42719.6905198992
969,05,Antioquia,05197,Cocorná,9452.6,11992.7,2437.9,610.3,2205,241,18,110,10,6,35,11,92,63,22055.6,2437.9,1.10804005,0.02035634,253643870.916067,120308.105760564
970,05,Antioquia,05206,Concepción,7132.1,11969,121.1,426.4,1623,154,5,26,19,2,8,1,66,116,19527.5,121.1,0.68506592,0.01463084,182435578.502911,75440.3007948219
971,05,Antioquia,05209,Concordia,3033,15493.5,2458.1,292.3,1859,67,0,4,3,6,26,1,26,8,18818.8,2458.1,0.74564881,0.01956102,243754975.469299,81860.7473083468
972,05,Antioquia,05212,Copacabana,1322.2,3225.8,730.5,1037.6,2011,363,19,1,1,5,15,1,61,89,5585.7,730.5,0.47759557,0.00573945,71559344.1093663,51400.1195037378
973,05,Antioquia,05234,Dabeiba,145956,39709,5085,3055.1,1985,367,75,8,9,6,206,39,44,71,188720.2,5085,2.56153424,0.16380074,2045098638.64429,284541.206086136
974,05,Antioquia,05237,Don Matías,2208.5,12690.4,3766.2,751.7,562,159,17,1,0,3,7,1,20,27,15650.6,3766.2,0.94788811,0.01671861,208517352.708563,104344.40707524
975,05,Antioquia,05240,Ebéjico,2620.9,20230.2,306.2,81.5,2692,124,3,2,6,1,6,2,30,71,22932.6,306.2,0.7910666,0.01936342,241421280.088027,85909.5864015876
976,05,Antioquia,05250,El Bagre,51332.3,97005.2,4613,2236.4,1302,85,27,9,5,43,11,1,14,39,150574,4613,2.19107668,0.12898942,1612976004.01748,243939.906811065
977,05,Antioquia,05264,Entrerrios,3595.2,14907.3,2180.9,615.9,683,342,100,8,1,0,4,2,4,164,19118.4,2180.9,0.78986187,0.01756945,219179631.497355,86895.3467139047
978,05,Antioquia,05266,Envigado,2840.9,2136.3,1145.1,369.9,623,86,1,0,1,2,3,1,6,7,5347.1,1145.1,0.48956374,0.00658109,82003930.3539046,52261.7138558357
979,05,Antioquia,05282,Fredonia,3169.7,19878,453.8,572.2,2630,96,7,3,0,2,5,0,45,112,23619.8,453.8,0.83787338,0.02067148,257508818.73604,92314.0826176879
980,05,Antioquia,05284,Frontino,105098.4,29747.9,385.9,1816,1102,95,1,6,0,2,29,0,13,60,136662.3,385.9,2.30827665,0.11491539,1433787539.43589,255943.791249595
981,05,Antioquia,05306,Giraldo,785.5,6634,1496,164,684,88,5,3,0,19,4,1,18,31,7583.4,1496,0.49467451,0.00856459,106851154.510804,54084.5683606307
982,05,Antioquia,05308,Girardota,1421.9,5475.9,1256,334.9,2634,521,20,1,29,2,22,1,48,35,7232.7,1256,0.40658735,0.00646722,80646934.2824346,44383.8991769386
983,05,Antioquia,05310,Gómez Plata,7802.5,24193,184.6,542.3,1122,75,7,3,1,2,1,0,32,15,32537.9,184.6,0.9247315,0.02718935,339259891.064091,102270.670358761
984,05,Antioquia,05313,Granada,3895.2,14289.9,413.4,429.9,1553,145,31,4,2,1,16,2,151,93,18614.9,413.4,0.83976437,0.01603498,199842596.825464,92027.5279137081
985,05,Antioquia,05315,Guadalupe,2216.3,9025.7,269.9,358.3,796,28,2,23,0,0,14,0,24,32,11600.3,269.9,0.49476993,0.0098166,122514495.61067,54744.6596089426
986,05,Antioquia,05318,Guarne,5265.5,8917.1,343.7,1014.8,4390,865,79,58,31,7,11,11,91,173,15197.4,343.7,0.70588849,0.0134012,167073155.012563,76948.0442187427
987,05,Antioquia,05321,Guatape,3229.1,1225.2,1897.4,1509.3,540,62,3,26,7,2,1,0,8,25,5963.7,1897.4,0.48071596,0.00652567,81349922.7440561,52923.0988504592
988,05,Antioquia,05347,Heliconia,3217.8,7579.4,31.4,533.4,831,79,4,1,2,3,7,1,1,49,11330.6,31.4,0.56532463,0.00941213,117322329.020443,61259.0160291749
989,05,Antioquia,05353,Hispania,242.5,5605.5,20.8,20.6,414,42,0,0,0,0,0,0,41,45,5868.7,20.8,0.34038604,0.00455778,56773295.7639962,37567.4643610358
990,05,Antioquia,05360,Itagui,223.7,369,85.9,1,303,35,1,0,0,0,3,0,9,9,593.7,85.9,0.23445121,0.00171471,21441883.4043706,24150.0380481049
991,05,Antioquia,05361,Ituango,263850.2,20330.2,104.7,107.9,3444,23,0,7,2,11,105,0,114,11,284288.2,104.7,2.7431359,0.18804331,2349078634.52458,302303.631045753
992,05,Antioquia,05364,Jardín,5473.3,12705,96,1667.2,1027,129,15,9,2,1,15,204,34,76,19845.5,96,0.71369795,0.01640118,204210006.489529,78864.4061422729
993,05,Antioquia,05368,Jericó,5864.1,14729.3,124.7,222.1,1552,145,5,5,1,0,6,2,35,59,20815.5,124.7,0.73629734,0.01666453,207553715.123632,81120.7962915126
994,05,Antioquia,05376,La Ceja,3643.2,8181.6,259,506.7,1520,359,35,20,30,3,8,0,12,119,12331.5,259,0.64587682,0.01119281,139451172.518339,70597.9566240836
995,05,Antioquia,05380,La Estrella,831,1725.7,68.9,259.3,326,36,0,3,1,0,1,0,2,12,2816,68.9,0.29338855,0.00284686,35544746.4232176,30777.7908313287
996,05,Antioquia,05390,La Pintada,330.7,4345.6,20.9,487.1,72,3,0,0,0,0,1,0,0,14,5163.4,20.9,0.53423032,0.00510342,63564631.8400043,59257.9013350062
997,05,Antioquia,05400,La Unión,5959.9,8562.3,533.6,112.5,1067,253,24,4,20,2,8,0,3,49,14634.8,533.6,0.68529868,0.01368153,170452494.440031,73939.6666091212
998,05,Antioquia,05411,Liborina,7692.9,12755.3,98.1,611.7,1332,144,3,2,0,0,15,2,29,1,21059.9,98.1,0.66050854,0.01789355,223267300.226254,73117.366425323
999,05,Antioquia,05425,Maceo,9410.4,34851.9,1278.4,297.3,1166,101,7,1,0,16,8,2,5,69,44559.5,1278.4,1.35683479,0.03488924,435181646.558127,150125.336936269
1000,05,Antioquia,05440,Marinilla,1508.8,6934.2,1919.4,127.7,1767,269,99,32,22,11,19,4,50,152,8570.7,1919.4,0.60391945,0.00915522,114114472.814709,65459.2306315134
1001,05,Antioquia,05467,Montebello,842.4,6912.3,215.7,307.1,844,69,49,3,28,19,0,0,68,22,8061.9,215.7,0.58703495,0.00780231,97211026.1721545,64493.4886160878
1002,05,Antioquia,05475,Murindó,115616.1,2691.4,6.3,10353.1,34,0,0,1,0,17,329,0,5,1,128660.7,6.3,1.85070629,0.10177903,1270304497.35611,202929.326175788
1003,05,Antioquia,05480,Mutatá,59633.9,49592.6,1794.1,10004.8,1191,82,11,9,12,2,26,2,24,104,119231.3,1794.1,1.87221906,0.09321489,1164672128.52421,208315.54530163
1004,05,Antioquia,05483,Nariño,14936,15030.7,332,302.4,1302,85,69,56,7,0,5,2,67,92,30269,332,0.99788769,0.0259189,322719867.968322,108999.021273721
1005,05,Antioquia,05490,Necoclí,12144.9,105765.1,4467.5,1717.3,2088,187,67,19,24,36,41,6,29,73,119627.3,4467.5,2.3753686,0.10486225,1313881672.80923,262004.604778483
1006,05,Antioquia,05495,Nechí,15206.4,66933.4,866.2,3772.6,933,38,6,54,0,25,7,1,3,19,85912.4,866.2,2.04373984,0.07816443,978129297.084975,227435.645063193
1007,05,Antioquia,05501,Olaya,1929.2,6113.5,34.9,573.6,529,63,2,1,0,5,11,0,2,36,8616.2,34.9,0.48966594,0.00713659,89042711.6061033,53161.0548850202
1008,05,Antioquia,05541,Peñol,2262.8,6272.7,564.2,3082.3,2780,482,72,20,12,13,69,12,399,306,11617.8,564.2,0.69579431,0.0115901,144480269.874416,76553.5874325919
1009,05,Antioquia,05543,Peque,18567.3,22781.4,684.8,1306.3,1590,217,2,1,0,8,34,7,58,30,42654.9,684.8,1.10366919,0.03534004,441272295.225459,121197.346571458
1010,05,Antioquia,05576,Pueblorrico,1772.6,6147.6,32.7,228.5,637,39,12,18,3,1,4,25,53,32,8148.7,32.7,0.53976422,0.00589481,73430266.4261974,59129.9077624642
1011,05,Antioquia,05579,Puerto Berrío,15884.7,97809.8,571.6,3572.9,784,34,1,0,0,1,1,2,13,53,117267.3,571.6,1.87552034,0.09901994,1234949909.32194,207607.282103478
1012,05,Antioquia,05585,Puerto Nare,6553.7,49070.8,896.4,729.4,366,29,1,0,1,7,12,0,2,23,56353.9,896.4,1.36164331,0.04775595,595207008.076498,148923.628544809
1013,05,Antioquia,05591,Puerto Triunfo,2740.3,32226.9,319.1,566,179,13,0,0,20,0,0,0,0,7,35533.2,319.1,1.0424691,0.03107025,387110772.893703,113514.038739176
1014,05,Antioquia,05604,Remedios,53439.3,138805.2,6213.1,1018.4,1020,88,3,0,0,3,8,1,10,76,193262.9,6213.1,3.03148513,0.16314487,2036884467.14457,334554.790844352
1015,05,Antioquia,05607,Retiro,4451.1,11353.7,3188.9,969.6,972,107,4,2,0,0,8,0,16,57,16774.3,3188.9,0.68556193,0.01906813,237619248.168835,75658.6999285984
1016,05,Antioquia,05615,Rionegro,3469.7,12934.2,250.4,1370.2,1633,253,14,6,2,4,4,0,41,47,17774.2,250.4,0.84139842,0.01604632,200001115.18204,91302.5789552115
1017,05,Antioquia,05628,Sabanalarga,8742,17685.8,96.9,351.5,2338,224,1,4,6,8,65,4,83,148,26779.3,96.9,0.86666895,0.02175594,271580750.353115,95251.6710172795
1018,05,Antioquia,05631,Sabaneta,112.3,783.8,201.8,150.1,180,29,2,4,0,0,0,0,4,1,1046.2,201.8,0.17904842,0.00128804,15961942.213569,18337.8854736769
1019,05,Antioquia,05642,Salgar,2256.4,23030.1,884.2,567.7,2222,110,4,7,6,5,5,1,49,59,25854.2,884.2,0.90677426,0.02408609,300103698.783495,99308.8381496699
1020,05,Antioquia,05647,San Andrés de Cuerquía,1212.8,15194.7,3115.4,435,653,121,9,2,19,3,4,3,8,55,16842.5,3115.4,0.88611734,0.01777142,221831505.574137,96722.5791854009
1021,05,Antioquia,05649,San Carlos,29993.2,28429.4,7012.3,5572.8,1524,170,11,2,22,54,27,2,191,133,63995.5,7012.3,1.44489147,0.06102645,760696996.172789,158269.542296786
1022,05,Antioquia,05652,San Francisco,29073.6,9647.7,264.3,422.7,686,55,0,0,35,6,9,3,182,23,39144,264.3,1.14419744,0.02861377,356471924.154178,123367.89052784
1023,05,Antioquia,05656,San Jerónimo,3846.7,8091.3,2625.2,776.3,1271,198,18,2,6,13,93,22,38,61,12714.2,2625.2,0.68150418,0.01393002,173715842.822141,74227.4121512031
1024,05,Antioquia,05658,San José de la Montaña,9537.1,2565.7,0.5,712.6,199,242,19,0,2,2,0,0,2,20,12815.3,0.5,0.53026122,0.01045571,130495028.864576,58181.5482577748
1025,05,Antioquia,05659,San Juan de Urabá,667.9,26834.2,179.7,78.8,547,72,3,0,0,3,5,1,3,35,27581,179.7,0.89218713,0.02171684,272265855.742639,98676.4691166611
1026,05,Antioquia,05660,San Luis,15295.8,27609.8,6043.7,2285.5,728,86,4,2,0,0,5,3,43,19,45191.1,6043.7,1.18318051,0.04254825,530164644.182794,129190.542464566
1027,05,Antioquia,05664,San Pedro,12657,8220.6,908.5,2030.5,1738,426,17,2,0,4,1,3,1,207,22908.1,908.5,0.89405365,0.01803413,224902166.220351,98223.1029220608
1028,05,Antioquia,05665,San Pedro de Uraba,2709.4,54983.3,325.9,2168.5,989,44,4,2,13,5,3,2,71,52,59861.2,325.9,1.48197955,0.04681717,586389704.912263,164719.176519171
1029,05,Antioquia,05667,San Rafael,15635.7,15718.4,2780.3,1536.2,1505,165,6,0,5,16,11,3,738,13,32890.4,2780.3,1.05726555,0.0272984,340351269.89356,115299.32356809
1030,05,Antioquia,05670,San Roque,11973.1,27389.8,1346.5,845.6,1458,86,18,8,6,17,40,5,183,174,40208.5,1346.5,1.13796358,0.0348884,435089395.024739,125802.028791831
1031,05,Antioquia,05674,San Vicente,9428.5,11488.7,254.4,346.9,2298,406,47,85,84,20,29,5,240,333,21264.1,254.4,0.80102852,0.01799372,224338762.564222,87344.6774364397
1032,05,Antioquia,05679,Santa Bárbara,2118.6,14141.6,41.4,1705.2,1835,239,32,10,3,4,4,2,245,309,17965.4,41.4,0.75702291,0.01483606,184819619.193981,83313.7100800389
1033,05,Antioquia,05686,Santa Rosa de Osos,22491.1,58072.3,1894.4,2599.3,2264,624,30,4,7,8,51,3,60,138,83162.7,1894.4,1.90822822,0.07052885,879964106.632412,208302.046822989
1034,05,Antioquia,05690,Santo Domingo,8439.8,17087.9,652.3,1581,1626,110,13,24,1,25,25,4,112,120,27108.8,652.3,1.05075399,0.02180574,272035625.128604,116426.674271897
1035,05,Antioquia,05697,El Santuario,2374,5077.1,407.9,290.7,1408,356,106,62,17,7,38,18,47,110,7741.8,407.9,0.54113963,0.00633251,78928550.8172023,58782.3416604663
1036,05,Antioquia,05736,Segovia,86400.6,36039.7,2636.8,2598.3,227,13,0,9,0,3,4,1,6,16,125038.6,2636.8,1.94691491,0.10000544,1249306479.31996,214453.641654567
1037,05,Antioquia,05756,Sonson,66068.2,53750.9,1824.9,2104.9,1407,211,32,4,34,7,6,0,108,40,121924.1,1824.9,3.24969317,0.10915653,1359549950.84535,352752.194535964
1038,05,Antioquia,05761,Sopetrán,1370.7,18210.6,1208.5,708.1,2188,316,40,287,64,9,123,20,57,41,20289.4,1208.5,0.85576242,0.01756642,219103381.901597,93188.3468925585
1039,05,Antioquia,05789,Támesis,7741.1,15355.4,295.1,434.4,1787,43,8,2,2,4,58,0,70,106,23531,295.1,0.80089428,0.02066166,257297860.641444,87800.7936805806
1040,05,Antioquia,05790,Tarazá,13419.5,91383,4454.8,4401.5,937,69,4,4,5,9,4,0,11,12,109203.9,4454.8,2.75032127,0.13318276,1664593869.55844,300323.228311484
1041,05,Antioquia,05792,Tarso,1710.2,8145.7,111.8,449.2,401,14,1,1,1,1,0,0,5,40,10305.1,111.8,0.46809194,0.0098691,122943703.74949,51420.1945866366
1042,05,Antioquia,05809,Titiribí,2773.8,9711.4,895.6,775.2,978,192,2,0,0,2,4,0,3,94,13260.3,895.6,0.50288412,0.01149969,143296320.431672,55382.2593053474
1043,05,Antioquia,05819,Toledo,2618.1,10024.9,377.6,337.9,803,128,17,13,15,4,7,2,48,40,12981,377.6,0.5052121,0.01005519,125544949.441252,54944.9442164278
1044,05,Antioquia,05837,Turbo,247823.2,109575.3,3156.3,10915.1,2562,308,27,6,6,2,218,2,38,122,368313.6,3156.3,6.95592348,0.24232574,3032358747.3972,765758.411426715
1045,05,Antioquia,05842,Uramita,8375.9,17205.2,508.9,56,476,75,8,0,0,1,5,0,8,50,25637,508.9,0.93992099,0.02095514,261562158.418501,102778.47073063
1046,05,Antioquia,05847,Urrao,169957.2,58983,3305,6921.8,2710,312,181,33,2,2,62,8,67,235,235862,3305,2.79030256,0.22013833,2744720825.4896,309839.040848564
1047,05,Antioquia,05854,Valdivia,6387.3,47644.7,1570.4,1297.1,614,84,4,0,1,0,0,1,4,39,55329.1,1570.4,1.51004937,0.04678729,584493335.858368,164064.696888307
1048,05,Antioquia,05856,Valparaíso,816.2,11301.2,528.2,134.3,863,51,6,0,19,2,2,11,3,59,12251.6,528.2,0.61078934,0.01067602,132942643.555283,67028.4916960276
1049,05,Antioquia,05858,Vegachí,6336.6,40694.4,302,822.6,76,3,0,3,0,0,0,0,8,4,47853.6,302,1.64920985,0.04251468,530600673.526998,181234.222961529
1050,05,Antioquia,05861,Venecia,896.5,11694.5,766.5,682,819,138,0,0,0,0,2,0,4,79,13273,766.5,0.54342866,0.01093735,136285124.638902,60131.198421062
1051,05,Antioquia,05873,Vigía del Fuerte,141890,23975.5,1.8,4552.5,982,18,2,47,4,0,40,0,17,3,170418,1.8,2.93190323,0.12529759,1562636984.09379,324865.012177756
1052,05,Antioquia,05885,Yalí,8410.1,32926.2,883.1,1505.7,522,62,16,20,2,2,3,1,2,33,42842,883.1,1.38351713,0.03613859,450936884.043364,152953.654326776
1053,05,Antioquia,05887,Yarumal,18275.1,45636.9,4162.8,2229.1,1078,395,43,3,4,7,6,0,26,39,66141.1,4162.8,1.67949248,0.05972442,745648367.782179,185242.589690997
1054,05,Antioquia,05890,Yolombó,27758,59346.8,808.2,5094.8,1331,119,10,1,5,6,17,5,44,68,92199.5,808.2,2.82698818,0.07959429,993012308.996191,312294.754472922
1055,05,Antioquia,05893,Yondó,25685,138321.8,8789.7,5503.5,782,63,1,0,1,27,9,0,36,59,169510.3,8789.7,2.36780608,0.15612996,1948983698.03853,263775.536466185
1056,05,Antioquia,05895,Zaragoza,17478.6,67961.7,7480.9,8350,611,66,5,5,0,2,6,2,6,36,93790.3,7480.9,2.24740274,0.08511246,1063798230.03575,247321.360916832
1057,08,Atlántico,08001,Barranquilla,265.5,4867.9,5.4,327.1,2,0,0,0,0,1,0,0,0,4,5460.5,5.4,0.80097699,0.01334403,168560277.193764,88534.4868570133
1058,08,Atlántico,08078,Baranoa,2196.8,7533.7,1396.8,277.1,419,81,23,49,11,0,0,45,41,17,10007.6,1396.8,0.73501535,0.00994746,125490525.701708,80937.4921632751
1059,08,Atlántico,08137,Campo de la Cruz,1135.4,7567.3,225.5,479.8,294,18,1,69,13,0,0,0,2,32,9182.4,225.5,0.61287986,0.00803818,101272838.201011,68507.552449029
1060,08,Atlántico,08141,Candelaria,2261.7,10557.5,361.3,83.4,354,50,27,3,0,1,0,1,4,51,12902.6,361.3,0.6340833,0.01163506,146637123.027526,70632.5507173603
1061,08,Atlántico,08296,Galapa,480.8,4355.9,3606.8,542.1,163,15,1,0,0,2,0,0,10,20,5378.7,3606.8,0.42019699,0.00805643,101705245.733743,45735.2392488845
1062,08,Atlántico,08372,Juan de Acosta,1714.8,13429.5,312.9,958.3,88,10,1,1,0,0,0,0,0,72,16102.7,312.9,0.75755429,0.01419755,179127800.596544,83347.1761858409
1063,08,Atlántico,08421,Luruaco,2785.7,12789.3,4966.2,1674.7,292,54,19,2,8,4,3,8,11,35,17249.6,4966.2,0.93360308,0.02014279,253983702.416104,103204.27451628
1064,08,Atlántico,08433,Malambo,1870.6,5768.9,1319.8,334.9,200,60,24,38,1,2,1,5,27,19,7974.4,1319.8,0.5034541,0.00822331,103197939.241127,56185.4026535138
1065,08,Atlántico,08436,Manatí,7152.1,10678.9,2144,154.8,852,80,5,1,0,1,23,1,33,74,17985.7,2144,0.70612562,0.01712818,215823199.152854,78923.0120783675
1066,08,Atlántico,08520,Palmar de Varela,756.3,6642.5,750.4,781.7,68,6,0,28,5,2,1,0,3,27,8180.5,750.4,0.49585054,0.00775579,97809835.5734279,52515.2511080464
1067,08,Atlántico,08549,Piojó,1083.8,20916.5,18.8,604.4,4,1,0,0,0,0,1,0,0,24,22604.6,18.8,0.77641569,0.02085196,262999136.561126,85916.6966235038
1068,08,Atlántico,08558,Polonuevo,391.9,5692.8,6.2,1053.2,15,6,0,0,0,0,0,0,1,32,7137.9,6.2,0.44724549,0.00617724,77910783.4691266,49637.6544025224
1069,08,Atlántico,08560,Ponedera,6179.5,11313.9,1030.8,904.3,474,59,11,5,1,25,2,0,5,43,18397.6,1030.8,0.79933858,0.0172489,217438996.197742,87019.2073711652
1070,08,Atlántico,08573,Puerto Colombia,293.1,2682.3,3088.3,298.4,29,2,0,5,0,0,0,0,12,8,3273.8,3088.3,0.60598263,0.00624143,78842380.9270986,66584.6608323728
1071,08,Atlántico,08606,Repelón,4012.2,16792.6,3706.5,903.8,1007,137,32,16,46,1,74,9,29,68,21708.7,3706.5,0.85785417,0.0278503,351000176.231538,95641.854806315
1072,08,Atlántico,08634,Sabanagrande,374.6,2230,463.9,1097.5,44,36,8,20,4,1,2,0,40,14,3702.1,463.9,0.30702645,0.00347453,43831676.6564588,34105.9891273742
1073,08,Atlántico,08638,Sabanalarga,11753.3,21533.4,2248.9,2605.9,1047,87,5,8,15,8,12,1,24,104,35892.6,2248.9,0.95980302,0.03282201,413835933.666032,106987.885590679
1074,08,Atlántico,08675,Santa Lucía,929.7,4321.3,9.2,17.8,735,57,0,13,0,0,10,0,25,94,5268.9,9.2,0.40475529,0.00474497,59776834.4051567,45109.9161102244
1075,08,Atlántico,08685,Santo Tomás,134.1,3842.4,1734.2,346.4,6,3,0,0,0,0,0,0,0,16,4322.9,1734.2,0.47079727,0.00541551,68301567.5360593,51959.3959930423
1076,08,Atlántico,08758,Soledad,67.2,1544.9,538.8,45.8,60,47,1,0,7,15,6,0,12,4,1657.9,538.8,0.42773317,0.00506559,64057054.5333363,47374.711006448
1077,08,Atlántico,08770,Suan,1608.6,1562.7,494.4,38.6,256,78,3,0,0,1,1,0,2,6,3209.9,494.4,0.29997409,0.00365366,46013182.1211618,33538.9649238031
1078,08,Atlántico,08832,Tubará,2969,10991.8,2136,1114.8,315,52,8,5,0,2,6,5,27,80,15075.6,2136,0.68006647,0.0145664,183828340.810167,74933.2876049103
1079,08,Atlántico,08849,Usiacurí,3082.6,5047.7,1114.2,747.4,169,9,5,23,6,2,2,2,4,33,8877.7,1114.2,0.53982338,0.00825491,104108861.58748,59907.8517166518
1080,11,Bogotá,11001,Bogotá,26334.9,92701,2776.1,2118.2,2132,559,101,20,7,6,20,6,175,343,121154.1,2776.1,3.99814034,0.13267169,1655265760.96306,417471.987888528
1081,19,Cauca,19001,Popayán,5375.6,28896.2,4956.3,729.6,3367,172,9,301,31,81,554,27,82,135,35001.4,4956.3,1.39862866,0.03926574,487036496.047907,152460.518556486
1082,19,Cauca,19022,Almaguer,12242.4,10381.7,5.8,709.1,7674,236,74,849,5,1,112,817,30,189,23333.3,5.8,0.76027569,0.01987711,246461186.090101,82260.9585293642
1083,19,Cauca,19050,Argelia,43618.1,31312.3,409.6,396.2,2316,94,33,22,22,3,32,6,68,20,75326.7,409.6,1.13677531,0.0549454,681436419.32088,125968.958281557
1084,19,Cauca,19075,Balboa,8911.1,28588.2,1596.1,227.3,3702,211,7,2,92,6,80,2,99,8,37726.5,1596.1,1.01398895,0.03345631,414866835.291139,111039.87326933
1085,19,Cauca,19100,Bolívar,6208.9,65227.9,3387.3,804.4,18845,2369,205,115,7,13,122,45,318,896,72241.2,3387.3,1.84673175,0.06394203,792770509.206957,203267.594256437
1086,19,Cauca,19110,Buenos Aires,6782,27258.3,1171.7,352.5,5653,85,50,4,3,89,132,19,33,29,34392.8,1171.7,1.5290821,0.03047084,378133735.325715,163631.789570349
1087,19,Cauca,19130,Cajibío,7940.2,36794.1,1278.6,848.1,3869,189,28,151,10,39,40,3,45,65,45582.4,1278.6,1.39304015,0.04473611,554973831.390907,151856.556795148
1088,19,Cauca,19137,Caldono,9684.1,20926,2382.2,183.8,3972,411,27,20,2,4,105,714,76,150,30794,2382.2,1.15027971,0.02823732,350339214.623385,124208.171354462
1089,19,Cauca,19142,Caloto,8155.2,18095.3,222.2,278.9,1815,158,150,10,19,0,774,927,141,23,26529.4,222.2,1.49473328,0.02225065,276134673.024567,161711.300321654
